ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4693303,HM288742,04/13/2006 03:00:00 PM,038XX W PALMER ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,2525,025,30,22,14,1150245,1914343,2006,02/28/2018 03:56:25 PM,41.920863923,-87.723393571,"(41.920863923, -87.723393571)"
7117335,HR526322,09/08/2009 05:00:00 PM,087XX S MUSKEGON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0423,004,7,46,14,1196527,1847586,2009,02/28/2018 03:56:25 PM,41.736651062,-87.55556692,"(41.736651062, -87.55556692)"
7117336,HR526381,09/08/2009 07:00:00 AM,028XX E 81ST ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0422,004,7,46,05,1196325,1851803,2009,02/28/2018 03:56:25 PM,41.74822785,-87.556167438,"(41.74822785, -87.556167438)"
7117338,HR526465,09/08/2009 05:45:00 PM,085XX S CRANDON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0412,004,8,46,14,1192986,1848936,2009,02/28/2018 03:56:25 PM,41.740442663,-87.568495789,"(41.740442663, -87.568495789)"
7117340,HR526701,09/08/2009 08:00:00 PM,023XX W 18TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1223,012,25,31,26,1161135,1891025,2009,02/28/2018 03:56:25 PM,41.856657834,-87.684029548,"(41.856657834, -87.684029548)"
7117341,HR526767,09/08/2009 08:00:00 PM,004XX E ONTARIO ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,1834,018,42,8,06,1179278,1904579,2009,02/28/2018 03:56:25 PM,41.893454941,-87.617020399,"(41.893454941, -87.617020399)"
7117342,HR526747,09/08/2009 08:30:00 PM,036XX N ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1733,017,33,16,14,1155074,1923987,2009,02/28/2018 03:56:25 PM,41.947232161,-87.705391149,"(41.947232161, -87.705391149)"
7117343,HR526768,09/08/2009 08:30:00 PM,002XX N LA SALLE ST,0890,THEFT,FROM BUILDING,TAVERN/LIQUOR STORE,false,false,0113,001,42,32,06,1175093,1901978,2009,02/28/2018 03:56:25 PM,41.886412499,-87.632468271,"(41.886412499, -87.632468271)"
7117344,HR526469,09/03/2009 01:40:00 AM,103XX S DOTY AVE E,0810,THEFT,OVER $500,OTHER,false,false,0434,004,10,51,06,1189757,1836996,2009,02/28/2018 03:56:25 PM,41.707756212,-87.580708771,"(41.707756212, -87.580708771)"
7117345,HR526568,09/01/2009 12:00:00 PM,066XX S MARYLAND AVE,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,0321,003,5,42,06,1183036,1861132,2009,02/28/2018 03:56:25 PM,41.774146619,-87.604572522,"(41.774146619, -87.604572522)"
7117347,HR526756,09/08/2009 04:30:00 PM,006XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,STREET,false,false,1834,018,42,8,06,1177327,1904307,2009,02/28/2018 03:56:25 PM,41.892753031,-87.624193896,"(41.892753031, -87.624193896)"
7117348,HR526806,09/08/2009 12:00:00 PM,092XX S PERRY AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0634,006,21,49,26,1177230,1843792,2009,02/28/2018 03:56:25 PM,41.726696642,-87.626378349,"(41.726696642, -87.626378349)"
7117349,HR526710,09/08/2009 08:55:00 PM,020XX N KENNETH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2522,025,31,20,18,1146392,1913181,2009,02/28/2018 03:56:25 PM,41.917749609,-87.737580125,"(41.917749609, -87.737580125)"
7117350,HR526736,09/02/2009 03:39:00 AM,069XX S ASHLAND AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0735,007,17,67,11,1166880,1858661,2009,02/28/2018 03:56:25 PM,41.767726292,-87.663867778,"(41.767726292, -87.663867778)"
7117351,HR526809,09/08/2009 09:34:00 PM,010XX W SUNNYSIDE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2313,019,46,3,18,1168642,1930055,2009,02/28/2018 03:56:25 PM,41.963599382,-87.655342514,"(41.963599382, -87.655342514)"
7117354,HR526663,09/08/2009 01:00:00 PM,022XX N MAGNOLIA AVE,0810,THEFT,OVER $500,ALLEY,false,false,1811,018,32,7,06,1167608,1915073,2009,02/28/2018 03:56:25 PM,41.922510482,-87.659577139,"(41.922510482, -87.659577139)"
7117355,HR526779,09/08/2009 10:00:00 AM,029XX N SHEFFIELD AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1932,019,44,6,06,1169098,1919899,2009,02/28/2018 03:56:25 PM,41.935721008,-87.653961944,"(41.935721008, -87.653961944)"
7117356,HR526603,09/08/2009 07:20:00 PM,040XX W IRVING PARK RD,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1732,017,39,16,03,1148885,1926279,2009,02/28/2018 03:56:25 PM,41.953643758,-87.72808092,"(41.953643758, -87.72808092)"
7117358,HR526799,09/08/2009 04:00:00 PM,083XX S DR MARTIN LUTHER KING JR DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,0632,006,6,44,26,1180365,1849834,2009,02/28/2018 03:56:25 PM,41.743205383,-87.614709784,"(41.743205383, -87.614709784)"
7117360,HR526836,09/06/2009 08:00:00 AM,023XX W BLOOMINGDALE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1434,014,1,22,06,1160561,1911925,2009,02/28/2018 03:56:25 PM,41.914021159,-87.685557356,"(41.914021159, -87.685557356)"
7117361,HR526026,09/08/2009 02:50:00 PM,013XX W 98TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2213,022,21,73,08B,1169207,1839797,2009,02/28/2018 03:56:25 PM,41.715910821,-87.655882613,"(41.715910821, -87.655882613)"
7117362,HR526803,09/08/2009 05:30:00 PM,100XX S WOODLAWN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,"SCHOOL, PUBLIC, BUILDING",false,false,0511,005,8,50,07,1186531,1838828,2009,02/28/2018 03:56:25 PM,41.7128602,-87.592464611,"(41.7128602, -87.592464611)"
7117363,HR526798,09/08/2009 09:45:00 PM,069XX S STATE ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,false,true,0322,003,6,69,04B,1177495,1859111,2009,02/28/2018 03:56:25 PM,41.768727829,-87.624945647,"(41.768727829, -87.624945647)"
7117364,HR526387,09/08/2009 09:50:00 AM,116XX S HARVARD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0522,005,34,53,05,1176041,1827783,2009,02/28/2018 03:56:25 PM,41.682792367,-87.631211886,"(41.682792367, -87.631211886)"
7117366,HR526713,09/08/2009 11:00:00 AM,0000X E 56TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0233,002,20,40,05,1177890,1867919,2009,02/28/2018 03:56:25 PM,41.792888946,-87.623231167,"(41.792888946, -87.623231167)"
7117367,HR526843,09/08/2009 10:25:00 PM,048XX W DIVERSEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,2521,025,31,19,18,1143723,1918183,2009,02/28/2018 03:56:25 PM,41.931526059,-87.747260641,"(41.931526059, -87.747260641)"
7117369,HR526785,09/08/2009 09:56:00 PM,071XX S WESTERN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0832,008,18,66,18,1161611,1857244,2009,02/28/2018 03:56:25 PM,41.763948757,-87.683220357,"(41.763948757, -87.683220357)"
