TIMESTAMP;MESSAGE;KEY-SOURCE;VALUE
1538013163250705;90001;Pen1_Die2;0.000000
1538013163251662;90001;Pen1_Die3;0.000000
1538013163252055;90001;Pen1_Die4;0.000000
1538013163253109;90001;Pen2_Die0;0.000000
1538013163253760;90001;Pen2_Die1;0.000000
1538013163254370;90001;Pen2_Die2;0.000000
1538013163254887;90001;Pen2_Die3;0.000000
1538013163255194;90001;Pen2_Die4;0.000000
1538013163255216;90001;RTDFusingLampLeft;27.489296
1538013163255226;90001;RTDFusingLampRight;26.457710
1538013163255237;90001;RightTowerFilterObstructionPressureSensor;0.000000
1538013163255250;90001;ThermalChamberPressureSensor;-0.113384
1538013163261225;90001;Yavin1Internal;34.730003
1538013163265839;90001;Yavin2Internal;27.935003
1538013177425048;90001;AirLungPressureSensor;-0.087622
1538013177425071;90001;AmbientTempSensor;22.259248
1538013177426107;90001;Bluestar1LocalTempSensor;25.199734
1538013177427427;90001;Bluestar2LocalTempSensor;25.675783
1538013177429165;90001;Bluestar3LocalTempSensor;31.614214
1538013177429183;90001;BrokenGlassPressureSensorFusingLeft;-0.007418
1538013177431608;90001;BrokenGlassPressureSensorFusingRight;0.004065
1538013177435956;90001;CarriageTempSensorBack;28086.200000
1538013177447603;90001;CarriageTempSensorFront;29499.600000
1538013177454210;90001;CarriageTempSensorMiddle;29264.100000
1538013177454232;90001;HeimannInternal;32.850000
1538013177459978;90001;Horus0JTRefSensorBack;-153872.506467
1538013177482625;90001;Horus0JTRefSensorFront;-152420.879048
1538013177490948;90001;Horus0JTRefSensorMiddle;-150969.251628
1538013177496627;90001;Horus0JTempSensorBack;-125647.817769
1538013177507690;90001;Horus0JTempSensorFront;-124196.190349
1538013177515899;90001;Horus0JTempSensorMiddle;-122744.562930
1538013177524405;90001;Horus1JTRefSensorBack;-155324.133887
1538013177531615;90001;Horus1JTRefSensorFront;-153872.506467
1538013177536696;90001;Horus1JTRefSensorMiddle;-153872.506467
1538013177545008;90001;Horus1JTempSensorBack;-127099.445188
1538013177554303;90001;Horus1JTempSensorFront;-124196.190349
1538013177560370;90001;Horus1JTempSensorMiddle;-124196.190349
1538013177560393;90001;LeftTowerFilterObstructionPressureSensor;0.000000
1538013177560403;90001;NTCFront;36.439302
1538013177560420;90001;NTCFusingLamp1Left;26.537846
1538013177560433;90001;NTCFusingLamp1Right;26.411238
1538013177560440;90001;NTCFusingLamp2Left;26.968084
1538013177560449;90001;NTCFusingLamp2Right;26.493076
1538013177560457;90001;NTCHeimannCase;33.998869
1538013177560464;90001;NTCLeftCoolingTowerExitAir;31.520798
1538013177560474;90001;NTCOutletAirTopHeating;32.092878
1538013177560482;90001;NTCRightCoolingTowerExitAir;28.257877
1538013177566250;90001;PazHRSensor;46.390000
1538013177567621;90001;PazTempSensor;28.400000
1538013177568071;90001;Pen0_Die0;34.450000
1538013177569526;90001;Pen0_Die1;34.330000
1538013177570419;90001;Pen0_Die2;34.450000
1538013177571474;90001;Pen0_Die3;34.480000
1538013177572027;90001;Pen0_Die4;34.390000
1538013177572494;90001;Pen1_Die0;33.840000
1538013177572801;90001;Pen1_Die1;34.340000
1538013177573046;90001;Pen1_Die2;34.770000
1538013177573492;90001;Pen1_Die3;34.340000
1538013177574023;90001;Pen1_Die4;34.770000
1538013177574555;90001;Pen2_Die0;34.777000
1538013177574894;90001;Pen2_Die1;34.160000
1538013177575162;90001;Pen2_Die2;33.660000
1538013177575390;90001;Pen2_Die3;34.340000
1538013177576511;90001;Pen2_Die4;34.120000
1538013177576528;90001;RTDFusingLampLeft;27.489296
1538013177576536;90001;RTDFusingLampRight;26.457710
1538013177576543;90001;RightTowerFilterObstructionPressureSensor;0.000000
1538013177576555;90001;ThermalChamberPressureSensor;-0.119365
1538013177582050;90001;Yavin1Internal;34.579003
1538013177587736;90001;Yavin2Internal;28.086003
1538013191794150;90001;AirLungPressureSensor;-0.096939
1538013191794170;90001;AmbientTempSensor;22.318760
1538013191797714;90001;Bluestar1LocalTempSensor;25.318760
1538013191799779;90001;Bluestar2LocalTempSensor;25.556784
1538013191800863;90001;Bluestar3LocalTempSensor;31.732753
1538013191800891;90001;BrokenGlassPressureSensorFusingLeft;-0.025100
1538013191800899;90001;BrokenGlassPressureSensorFusingRight;-0.013355
1538013191804868;90001;CarriageTempSensorBack;28086.200000
1538013191814718;90001;CarriageTempSensorFront;29499.600000
1538013191820497;90001;CarriageTempSensorMiddle;29264.100000
1538013191820519;90001;HeimannInternal;32.850000
1538013191824550;90001;Horus0JTRefSensorBack;-153872.506467
1538013191833827;90001;Horus0JTRefSensorFront;-152420.879048
1538013191839016;90001;Horus0JTRefSensorMiddle;-149517.624209
1538013191845207;90001;Horus0JTempSensorBack;-125647.817769
1538013191854966;90001;Horus0JTempSensorFront;-124196.190349
1538013191860151;90001;Horus0JTempSensorMiddle;-121292.935510
1538013191865899;90001;Horus1JTRefSensorBack;-155324.133887
1538013191873055;90001;Horus1JTRefSensorFront;-153872.506467
1538013191878188;90001;Horus1JTRefSensorMiddle;-153872.506467
1538013191884105;90001;Horus1JTempSensorBack;-125647.817769
1538013191890366;90001;Horus1JTempSensorFront;-124196.190349
1538013191896193;90001;Horus1JTempSensorMiddle;-122744.562930
1538013191896215;90001;LeftTowerFilterObstructionPressureSensor;0.000000
1538013191896224;90001;NTCFront;36.244710
1538013191896231;90001;NTCFusingLamp1Left;26.537846
1538013191896239;90001;NTCFusingLamp1Right;26.537846
1538013191896248;90001;NTCFusingLamp2Left;27.105506
1538013191896255;90001;NTCFusingLamp2Right;26.630374
1538013191896263;90001;NTCHeimannCase;33.998869
1538013191896269;90001;NTCLeftCoolingTowerExitAir;31.575330
1538013191896276;90001;NTCOutletAirTopHeating;32.175371
1538013191896282;90001;NTCRightCoolingTowerExitAir;28.197040
1538013191902040;90001;PazHRSensor;46.160000
1538013191903185;90001;PazTempSensor;28.600000
1538013191904370;90001;Pen0_Die0;44.790000
1538013191904893;90001;Pen0_Die1;44.670000
1538013191906809;90001;Pen0_Die2;44.790000
1538013191908216;90001;Pen0_Die3;44.820000
1538013191909020;90001;Pen0_Die4;44.730000
1538013191909314;90001;Pen1_Die0;44.400000
1538013191909539;90001;Pen1_Die1;44.420000
1538013191910106;90001;Pen1_Die2;44.170000
1538013191910447;90001;Pen1_Die3;44.420000
1538013191911096;90001;Pen1_Die4;44.170000
1538013191911384;90001;Pen2_Die0;51.301000
1538013191911632;90001;Pen2_Die1;51.440000
1538013191911873;90001;Pen2_Die2;51.420000
1538013191912450;90001;Pen2_Die3;51.490000
1538013191912703;90001;Pen2_Die4;51.400000
1538013191912727;90001;RTDFusingLampLeft;27.489296
1538013191912735;90001;RTDFusingLampRight;26.457710
1538013191912744;90001;RightTowerFilterObstructionPressureSensor;0.000000
1538013191912752;90001;ThermalChamberPressureSensor;-0.124887
1538013191916823;90001;Yavin1Internal;33.522003
1538013191921585;90001;Yavin2Internal;28.086003
1538013206139501;90001;AirLungPressureSensor;-0.097388
1538013206139520;90001;AmbientTempSensor;22.378270
1538013206140320;90001;Bluestar1LocalTempSensor;25.259248
1538013206141472;90001;Bluestar2LocalTempSensor;25.675783
1538013206142610;90001;Bluestar3LocalTempSensor;31.614214
1538013206142640;90001;BrokenGlassPressureSensorFusingLeft;-0.033971
1538013206142649;90001;BrokenGlassPressureSensorFusingRight;-0.020234
1538013206146809;90001;CarriageTempSensorBack;28321.800000
1538013206151763;90001;CarriageTempSensorFront;29735.200000
1538013206156940;90001;CarriageTempSensorMiddle;29499.600000
1538013206156962;90001;HeimannInternal;32.850000
1538013206161686;90001;Horus0JTRefSensorBack;-153872.506467
1538013206171569;90001;Horus0JTRefSensorFront;-152420.879048
1538013206177342;90001;Horus0JTRefSensorMiddle;-150969.251628
1538013206182560;90001;Horus0JTempSensorBack;-125647.817769
1538013206197106;90001;Horus0JTempSensorFront;-122744.562930
